"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77"
49,2013-03-18,2013,"201303","20130318",225,225.25,225.5,226,226.25,226.25,225.5,224.5,223,224.5,223.5,224.25,225.25,224.25,226.75,227,228,228.25,228,228,228.75,229,227.5,225.5,225.25,225.25,225.5,226,226.25,226.25,225.75,224.25,223.5,224.5,223.75,224,225.25,224.25,226.75,227,227.75,228,228,228,228.75,229,227.75,225.25,225.75,226,225.75,226,226.25,226.5,226,225.25,224,225,224.75,224.75,226,224.5,227.5,227.5,228.25,229,229,228.75,229.5,229.75,228.5,226.25
49,2013-03-19,2013,"201303","20130319",225.5,225.25,226,225.75,226,226,225.25,224.5,224,225,224,224.75,224.75,223.75,224.75,228.5,227,228,228.25,228,228.25,228.25,227.5,227.25,225.5,225.5,226,225.75,226,226,225.5,224.5,224.75,225,224.25,224.75,225,224,225,228.5,228,228,228,228,228.5,228.5,228,227.5,225.75,226,226.5,226.25,226.25,226.5,225.75,224.75,225.25,225.5,225,225,225.5,224.5,225,229,228.5,228.5,229,229,229.25,229.25,228,228
49,2013-03-20,2013,"201303","20130320",226,225,225,225.5,225.25,225.5,224.75,224.25,222.25,222.5,222.25,224.5,225.75,225.25,226,226,226.75,227,226.5,226,226.25,227,227.25,226.75,226,225,225,225.5,225.25,225.5,225.25,224.5,222.5,222.5,222.25,224.5,226,225,226,225.75,227,227,226.75,226,226.25,227,227.25,227,226.75,225.5,225.5,225.5,225.75,225.75,225.5,225,223,223.25,222.75,225.25,226.5,226,226.75,227,227.5,228,227.75,227.5,227.25,227.75,227.75,227.5
49,2013-03-21,2013,"201303","20130321",227.25,228.25,227,225.75,225.5,226,225,223.5,223,223.25,223.25,223.25,224,223,223.75,224.25,224.75,225,224.25,224,224.5,225,225.25,223.75,227.25,228.25,227,225.5,225.5,226,225,224,223.25,223.25,223.25,223.25,224.5,223.25,223.75,224,224.25,224.75,224.25,224.25,225,225,225,224.25,228.25,228.25,227.25,226,226.25,226,225.5,224,223.5,224.25,224,224.25,224.75,224,224.75,224.75,225,225.25,225,225,225.5,225.75,225.75,224.25
49,2013-03-22,2013,"201303","20130322",224.25,224.5,224.75,225.25,225.25,225,224.25,224,223.25,224,223.75,224.25,225,223.75,224,224.5,224.75,224.75,224.75,224,224.25,224.25,223.75,223.25,224.25,224.5,225.25,225.25,225.5,225,224.25,224,223.25,224,224,224.25,225,223.75,224,224.5,224.25,224.75,224.75,224.25,224.25,224.75,223.5,223.5,224.5,224.75,225.5,225.5,226,225.25,224.75,224.75,223.5,224.75,224.25,224.75,225.5,224.5,224.75,225.25,225.75,225.5,225.25,225,225,225,224.25,224.25
49,2013-03-23,2013,"201303","20130323",224.25,224.75,224.25,224.75,225,224.75,224.25,224.5,223.25,223,224,224.25,225.5,224,224.25,224.25,225,224.5,224.5,223.75,223.75,223.75,224.25,225.25,224,224.5,224.25,224.75,225,224.75,224.25,224.25,223,223,223.75,224.25,225.25,224,224.5,224.25,225,224.25,224.75,224.25,224,224,224,225,224.75,225,225,225,225,225,225,225,224,223.5,224.75,225,225.75,224.75,224.75,225.25,225.25,225,225.25,225,224.75,224.75,225,225.75
49,2013-03-24,2013,"201303","20130324",225.75,226.5,227,227,227,226.5,226.5,225,224.25,224,224.25,224.5,225.25,224,223.75,224.25,225,224.25,224.25,224,223,223.75,224,224.75,225.75,226.25,226.75,227,227,226.5,226,225.5,224.5,224.5,224.75,225,225.75,224,223.75,224.5,225,224.25,224.5,224.25,223.75,223.75,224,224.75,226.25,227,227.5,227.5,227.5,227,227,226.5,225.25,225,225,225.25,225.75,225,225,224.75,225.25,225,225,224.75,224.75,225,224.75,225.75
49,2013-03-25,2013,"201303","20130325",225.75,226,226.75,227,227,226.75,226,224.5,223.5,222.5,223,223,223.25,222.5,222.75,223.25,223.5,224,224.25,223.75,223.75,223.75,224,224.75,226,226,227,227,227,227,226,224.75,223.75,222.5,223,223,223.25,222.5,223,223.25,223.75,223.75,224.5,224.25,223.75,223.75,223.75,224.75,226.75,226.75,227.25,227.5,227.25,227.25,226.75,225.5,224.25,223.25,223.5,223.5,224,223,223.75,223.75,224.25,224.75,225.25,224.5,224.25,224.5,224.75,225.25
49,2013-03-26,2013,"201303","20130326",226.25,227,227,227,227,226.75,226.25,225.25,223.5,223,222.5,222.75,223.5,225.5,226,226.5,226.5,226.5,226.75,226.5,226,226.25,226.5,226,226,227,227,227,227,226.75,226.25,225.5,223.5,223,222,222.75,223.75,225.75,226,226,227,226.75,226.75,226.5,226.5,226.25,226.25,226.25,226.75,227.75,227.75,227.75,228,227.25,227,226,224.75,223.5,223,223.5,224.25,226.5,227,227.25,227.5,227.75,228,227.75,227,227,227,227
49,2013-03-27,2013,"201303","20130327",226.75,226.25,225,225,225,224.75,224.25,223.75,222.5,222.75,223,223.25,223.5,225.5,226.25,227,227.25,227,224.5,223.25,223.5,223.5,222.75,223.25,226.75,226.25,225,225,225,225.25,224.25,224,222.5,222.75,222.75,223.25,223.5,225.25,226.25,226.75,227.25,227,224.5,223.5,223.25,223,222.5,223.25,227.5,226.5,225.75,225.75,225.75,225.25,225.25,224.5,223.5,223.5,223.75,224.25,225,226,227,227.5,228,227.25,225.25,224.5,225,224.25,223.5,224
