"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29"
49,2013-02-09,2013,"201302","20130209",6759.70666666667,6759.785,6759.855,6759.915,6759.975,6760.0325,6760.1075,6760.18,6760.29,6760.455,6760.6325,6760.7925,6760.95,6761.095,6761.2275,6761.355,6761.5075,6761.685,6761.9025,6762.15,6762.385,6762.63,6762.87,6763.1075
49,2013-02-10,2013,"201302","20130210",6763.34,6763.5675,6763.715,6763.7925,6763.8575,6763.9225,6763.995,6764.08,6764.1675,6764.2825,6764.4325,6764.6075,6764.765,6764.9125,6765.0325,6765.14,6765.27,6765.4,6765.5425,6765.73,6765.9275,6766.12,6766.3075,6766.495
49,2013-02-11,2013,"201302","20130211",6766.6325,6766.725,6766.7925,6766.855,6766.9125,6766.975,6767.05,6767.12,6767.215,6767.3625,6767.5375,6767.675,6767.7875,6767.895,6768.0025,6768.125,6768.27,6768.43,6768.6025,6768.7775,6768.95,6769.1375,6769.33,6769.5
49,2013-02-12,2013,"201302","20130212",6769.65,6769.765,6769.845,6769.9075,6769.975,6770.0325,6770.1075,6770.18,6770.285,6770.415,6770.5525,6770.6875,6770.8325,6770.955,6771.075,6771.19,6771.315,6771.4475,6771.59,6771.77,6771.95,6772.135,6772.3325,6772.5025
49,2013-02-13,2013,"201302","20130213",6772.64,6772.7475,6772.825,6772.885,6772.95,6773.0125,6773.0925,6773.165,6773.2675,6773.4175,6773.5825,6773.74,6773.88,6774.02,6774.13,6774.23,6774.3525,6774.505,6774.6625,6774.8475,6775.045,6775.225,6775.41,6775.58
49,2013-02-14,2013,"201302","20130214",6775.7075,6775.805,6775.88,6775.945,6776.0075,6776.07,6776.145,6776.2125,6776.3075,6776.45,6776.6075,6776.745,6776.87,6776.9925,6777.1075,6777.235,6777.38,6777.525,6777.7,6777.88,6778.0625,6778.2625,6778.465,6778.645
49,2013-02-15,2013,"201302","20130215",6778.7725,6778.8625,6778.9425,6779.005,6779.065,6779.13,6779.2075,6779.29,6779.385,6779.52,6779.655,6779.8,6779.9475,6780.0675,6780.185,6780.2975,6780.4125,6780.545,6780.72,6780.925,6781.13,6781.36,6781.6,6781.8
49,2013-02-16,2013,"201302","20130216",6781.9425,6782.03,6782.105,6782.1725,6782.2375,6782.2975,6782.365,6782.4525,6782.5725,6782.7275,6782.87,6783.005,6783.1325,6783.2475,6783.35,6783.45,6783.5675,6783.71,6783.885,6784.095,6784.3375,6784.58,6784.8175,6785.0075
49,2013-02-17,2013,"201302","20130217",6785.145,6785.24,6785.315,6785.3825,6785.4575,6785.525,6785.6,6785.69,6785.82,6785.9725,6786.145,6786.2875,6786.4225,6786.545,6786.6575,6786.76,6786.8875,6787.04,6787.215,6787.42,6787.6425,6787.87,6788.0875,6788.275
49,2013-02-18,2013,"201302","20130218",6788.4225,6788.52,6788.5975,6788.665,6788.73,6788.79,6788.8625,6788.96,6789.115,6789.2775,6789.405,6789.5175,6789.6275,6789.74,6789.845,6789.945,6790.06,6790.195,6790.3575,6790.5575,6790.7725,6791,6791.23,6791.4275
49,2013-02-19,2013,"201302","20130219",6791.575,6791.67,6791.7375,6791.8025,6791.8675,6791.9325,6792.0175,6792.1125,6792.2425,6792.3975,6792.51,6792.6225,6792.735,6792.8525,6792.95,6793.04,6793.1425,6793.2675,6793.4225,6793.63,6793.85,6794.065,6794.2725,6794.475
49,2013-02-20,2013,"201302","20130220",6794.6225,6794.71,6794.785,6794.845,6794.905,6794.97,6795.045,6795.1425,6795.2725,6795.435,6795.555,6795.68,6795.7925,6795.8925,6795.9825,6796.0725,6796.1675,6796.275,6796.43,6796.62,6796.835,6797.0625,6797.28,6797.4725
49,2013-02-21,2013,"201302","20130221",6797.6125,6797.7,6797.7725,6797.8375,6797.9,6797.97,6798.0425,6798.145,6798.29,6798.45,6798.5925,6798.72,6798.84,6798.955,6799.0575,6799.15,6799.245,6799.3675,6799.5225,6799.715,6799.9325,6800.16,6800.3875,6800.5875
49,2013-02-22,2013,"201302","20130222",6800.73,6800.82,6800.8975,6800.955,6801.02,6801.0825,6801.1625,6801.2725,6801.4025,6801.5275,6801.635,6801.75,6801.855,6801.96,6802.0525,6802.1475,6802.2575,6802.375,6802.5325,6802.7275,6802.935,6803.135,6803.3525,6803.5625
49,2013-02-23,2013,"201302","20130223",6803.715,6803.81,6803.89,6803.9625,6804.03,6804.095,6804.17,6804.255,6804.3675,6804.52,6804.6775,6804.825,6804.965,6805.1025,6805.2225,6805.33,6805.445,6805.6025,6805.7775,6805.98,6806.1875,6806.41,6806.6325,6806.8475
